Idx,Kind,T,DurField,Line
562,end,1649.779,2.057,"[silencedetect @ 000001d1ec14d600] silence_end: 1649.77925 | silence_duration: 2.0565"
563,start,1654.636,,"[silencedetect @ 000001d1ec14d600] silence_start: 1654.635625"
564,end,1656.385,1.749,"[silencedetect @ 000001d1ec14d600] silence_end: 1656.38475 | silence_duration: 1.749125"
565,start,1660.105,,"[silencedetect @ 000001d1ec14d600] silence_start: 1660.105"
566,end,1661.923,1.818,"[silencedetect @ 000001d1ec14d600] silence_end: 1661.923063 | silence_duration: 1.818063"
567,start,1665.277,,"[silencedetect @ 000001d1ec14d600] silence_start: 1665.27675"
568,end,1666.003,0.726,"[silencedetect @ 000001d1ec14d600] silence_end: 1666.003187 | silence_duration: 0.726438"
569,start,1667.97,,"[silencedetect @ 000001d1ec14d600] silence_start: 1667.970188"
570,end,1668.759,0.788,"[silencedetect @ 000001d1ec14d600] silence_end: 1668.758562 | silence_duration: 0.788375"
571,start,1674.266,,"[silencedetect @ 000001d1ec14d600] silence_start: 1674.265688"
572,end,1676.033,1.768,"[silencedetect @ 000001d1ec14d600] silence_end: 1676.033312 | silence_duration: 1.767625"
573,start,1682.5,,"[silencedetect @ 000001d1ec14d600] silence_start: 1682.500063"
574,end,1684.29,1.79,"[silencedetect @ 000001d1ec14d600] silence_end: 1684.290125 | silence_duration: 1.790063"
575,start,1689.386,,"[silencedetect @ 000001d1ec14d600] silence_start: 1689.385937"
576,end,1691.145,1.759,"[silencedetect @ 000001d1ec14d600] silence_end: 1691.14525 | silence_duration: 1.759313"
577,start,1694.165,,"[silencedetect @ 000001d1ec14d600] silence_start: 1694.1645"
578,end,1694.949,0.785,"[silencedetect @ 000001d1ec14d600] silence_end: 1694.949 | silence_duration: 0.7845"
579,start,1698.081,,"[silencedetect @ 000001d1ec14d600] silence_start: 1698.081312"
580,end,1699.806,1.725,"[silencedetect @ 000001d1ec14d600] silence_end: 1699.806438 | silence_duration: 1.725125"
581,start,1701.911,,"[silencedetect @ 000001d1ec14d600] silence_start: 1701.910625"
582,end,1702.723,0.813,"[silencedetect @ 000001d1ec14d600] silence_end: 1702.723375 | silence_duration: 0.81275"
583,start,1706.461,,"[silencedetect @ 000001d1ec14d600] silence_start: 1706.461"
584,end,1707.237,0.776,"[silencedetect @ 000001d1ec14d600] silence_end: 1707.2365 | silence_duration: 0.7755"
585,start,1708.85,,"[silencedetect @ 000001d1ec14d600] silence_start: 1708.850063"
586,end,1710.647,1.797,"[silencedetect @ 000001d1ec14d600] silence_end: 1710.646625 | silence_duration: 1.796563"
587,start,1716.496,,"[silencedetect @ 000001d1ec14d600] silence_start: 1716.495688"
588,end,1718.261,1.765,"[silencedetect @ 000001d1ec14d600] silence_end: 1718.26075 | silence_duration: 1.765062"
589,start,1723.927,,"[silencedetect @ 000001d1ec14d600] silence_start: 1723.926688"
590,end,1725.785,1.858,"[silencedetect @ 000001d1ec14d600] silence_end: 1725.784688 | silence_duration: 1.858"
591,start,1727.77,,"[silencedetect @ 000001d1ec14d600] silence_start: 1727.770062"
592,end,1728.541,0.771,"[silencedetect @ 000001d1ec14d600] silence_end: 1728.540625 | silence_duration: 0.770563"
593,start,1732.498,,"[silencedetect @ 000001d1ec14d600] silence_start: 1732.49775"
594,end,1734.28,1.782,"[silencedetect @ 000001d1ec14d600] silence_end: 1734.280062 | silence_duration: 1.782312"
595,start,1740.264,,"[silencedetect @ 000001d1ec14d600] silence_start: 1740.264437"
596,end,1741.99,1.726,"[silencedetect @ 000001d1ec14d600] silence_end: 1741.99025 | silence_duration: 1.725812"
597,start,1746.608,,"[silencedetect @ 000001d1ec14d600] silence_start: 1746.608062"
598,end,1747.376,0.768,"[silencedetect @ 000001d1ec14d600] silence_end: 1747.376062 | silence_duration: 0.768"
599,start,1751.26,,"[silencedetect @ 000001d1ec14d600] silence_start: 1751.26"
600,end,1753.016,1.756,"[silencedetect @ 000001d1ec14d600] silence_end: 1753.016437 | silence_duration: 1.756438"
601,start,1755.516,,"[silencedetect @ 000001d1ec14d600] silence_start: 1755.516125"
602,end,1757.459,1.943,"[silencedetect @ 000001d1ec14d600] silence_end: 1757.459313 | silence_duration: 1.943188"
603,start,1767.004,,"[silencedetect @ 000001d1ec14d600] silence_start: 1767.003813"
604,end,1768.773,1.769,"[silencedetect @ 000001d1ec14d600] silence_end: 1768.77275 | silence_duration: 1.768938"
605,start,1774.498,,"[silencedetect @ 000001d1ec14d600] silence_start: 1774.497562"
606,end,1776.281,1.783,"[silencedetect @ 000001d1ec14d600] silence_end: 1776.28075 | silence_duration: 1.783188"
607,start,1781.274,,"[silencedetect @ 000001d1ec14d600] silence_start: 1781.274125"
608,end,1782.035,0.761,"[silencedetect @ 000001d1ec14d600] silence_end: 1782.035 | silence_duration: 0.760875"
609,start,1784.163,,"[silencedetect @ 000001d1ec14d600] silence_start: 1784.163188"
610,end,1785.936,1.773,"[silencedetect @ 000001d1ec14d600] silence_end: 1785.936438 | silence_duration: 1.77325"
611,start,1790.388,,"[silencedetect @ 000001d1ec14d600] silence_start: 1790.387688"
612,end,1791.135,0.748,"[silencedetect @ 000001d1ec14d600] silence_end: 1791.13525 | silence_duration: 0.747563"
613,start,1793.567,,"[silencedetect @ 000001d1ec14d600] silence_start: 1793.566875"
614,end,1795.337,1.77,"[silencedetect @ 000001d1ec14d600] silence_end: 1795.336875 | silence_duration: 1.77"
615,start,1799.033,,"[silencedetect @ 000001d1ec14d600] silence_start: 1799.03275"
616,end,1800.759,1.726,"[silencedetect @ 000001d1ec14d600] silence_end: 1800.758938 | silence_duration: 1.726187"
617,start,1808.228,,"[silencedetect @ 000001d1ec14d600] silence_start: 1808.228"
618,end,1809.979,1.751,"[silencedetect @ 000001d1ec14d600] silence_end: 1809.978938 | silence_duration: 1.750938"
619,start,1817.648,,"[silencedetect @ 000001d1ec14d600] silence_start: 1817.648125"
620,end,1819.499,1.851,"[silencedetect @ 000001d1ec14d600] silence_end: 1819.499375 | silence_duration: 1.85125"
621,start,1823.705,,"[silencedetect @ 000001d1ec14d600] silence_start: 1823.704688"
622,end,1824.493,0.789,"[silencedetect @ 000001d1ec14d600] silence_end: 1824.493313 | silence_duration: 0.788625"
623,start,1829.212,,"[silencedetect @ 000001d1ec14d600] silence_start: 1829.212063"
624,end,1830.957,1.745,"[silencedetect @ 000001d1ec14d600] silence_end: 1830.957125 | silence_duration: 1.745062"
625,start,1834.047,,"[silencedetect @ 000001d1ec14d600] silence_start: 1834.047375"
626,end,1834.652,0.604,"[silencedetect @ 000001d1ec14d600] silence_end: 1834.651625 | silence_duration: 0.60425"
627,start,1837.685,,"[silencedetect @ 000001d1ec14d600] silence_start: 1837.685125"
628,end,1839.45,1.765,"[silencedetect @ 000001d1ec14d600] silence_end: 1839.450438 | silence_duration: 1.765313"
629,start,1845.349,,"[silencedetect @ 000001d1ec14d600] silence_start: 1845.349"
630,end,1846.048,0.699,"[silencedetect @ 000001d1ec14d600] silence_end: 1846.048063 | silence_duration: 0.699063"
631,start,1849.104,,"[silencedetect @ 000001d1ec14d600] silence_start: 1849.104063"
