Idx,Kind,T,DurField,Line
394,end,1101.154,2.033,"[silencedetect @ 000001d1ec14d600] silence_end: 1101.1535 | silence_duration: 2.033125"
395,start,1111.735,,"[silencedetect @ 000001d1ec14d600] silence_start: 1111.735312"
396,end,1113.629,1.894,"[silencedetect @ 000001d1ec14d600] silence_end: 1113.629125 | silence_duration: 1.893813"
397,start,1115.699,,"[silencedetect @ 000001d1ec14d600] silence_start: 1115.698813"
398,end,1116.475,0.776,"[silencedetect @ 000001d1ec14d600] silence_end: 1116.475125 | silence_duration: 0.776312"
399,start,1120.236,,"[silencedetect @ 000001d1ec14d600] silence_start: 1120.236187"
400,end,1121.956,1.72,"[silencedetect @ 000001d1ec14d600] silence_end: 1121.956312 | silence_duration: 1.720125"
401,start,1132.023,,"[silencedetect @ 000001d1ec14d600] silence_start: 1132.023125"
402,end,1133.76,1.737,"[silencedetect @ 000001d1ec14d600] silence_end: 1133.759875 | silence_duration: 1.73675"
403,start,1141.243,,"[silencedetect @ 000001d1ec14d600] silence_start: 1141.243"
404,end,1143.007,1.764,"[silencedetect @ 000001d1ec14d600] silence_end: 1143.006938 | silence_duration: 1.763937"
405,start,1154.757,,"[silencedetect @ 000001d1ec14d600] silence_start: 1154.757188"
406,end,1156.541,1.784,"[silencedetect @ 000001d1ec14d600] silence_end: 1156.540937 | silence_duration: 1.78375"
407,start,1160.03,,"[silencedetect @ 000001d1ec14d600] silence_start: 1160.03"
408,end,1161.808,1.778,"[silencedetect @ 000001d1ec14d600] silence_end: 1161.8075 | silence_duration: 1.7775"
409,start,1171.062,,"[silencedetect @ 000001d1ec14d600] silence_start: 1171.062375"
410,end,1172.96,1.897,"[silencedetect @ 000001d1ec14d600] silence_end: 1172.959812 | silence_duration: 1.897438"
411,start,1175.007,,"[silencedetect @ 000001d1ec14d600] silence_start: 1175.00675"
412,end,1175.789,0.782,"[silencedetect @ 000001d1ec14d600] silence_end: 1175.788937 | silence_duration: 0.782188"
413,start,1182.105,,"[silencedetect @ 000001d1ec14d600] silence_start: 1182.104687"
414,end,1183.892,1.787,"[silencedetect @ 000001d1ec14d600] silence_end: 1183.891562 | silence_duration: 1.786875"
415,start,1190.331,,"[silencedetect @ 000001d1ec14d600] silence_start: 1190.330563"
416,end,1192.057,1.726,"[silencedetect @ 000001d1ec14d600] silence_end: 1192.056625 | silence_duration: 1.726063"
417,start,1199.791,,"[silencedetect @ 000001d1ec14d600] silence_start: 1199.791438"
418,end,1201.541,1.75,"[silencedetect @ 000001d1ec14d600] silence_end: 1201.541062 | silence_duration: 1.749625"
419,start,1208.443,,"[silencedetect @ 000001d1ec14d600] silence_start: 1208.44325"
420,end,1210.194,1.75,"[silencedetect @ 000001d1ec14d600] silence_end: 1210.193625 | silence_duration: 1.750375"
421,start,1218.001,,"[silencedetect @ 000001d1ec14d600] silence_start: 1218.001375"
422,end,1218.559,0.558,"[silencedetect @ 000001d1ec14d600] silence_end: 1218.559062 | silence_duration: 0.557688"
423,start,1220.549,,"[silencedetect @ 000001d1ec14d600] silence_start: 1220.549"
424,end,1222.304,1.755,"[silencedetect @ 000001d1ec14d600] silence_end: 1222.303562 | silence_duration: 1.754563"
425,start,1226.739,,"[silencedetect @ 000001d1ec14d600] silence_start: 1226.738687"
426,end,1228.713,1.974,"[silencedetect @ 000001d1ec14d600] silence_end: 1228.71275 | silence_duration: 1.974063"
427,start,1237.707,,"[silencedetect @ 000001d1ec14d600] silence_start: 1237.707"
428,end,1239.466,1.759,"[silencedetect @ 000001d1ec14d600] silence_end: 1239.466375 | silence_duration: 1.759375"
429,start,1242.994,,"[silencedetect @ 000001d1ec14d600] silence_start: 1242.994375"
430,end,1244.743,1.749,"[silencedetect @ 000001d1ec14d600] silence_end: 1244.742937 | silence_duration: 1.748563"
431,start,1249.1,,"[silencedetect @ 000001d1ec14d600] silence_start: 1249.099688"
432,end,1250.81,1.71,"[silencedetect @ 000001d1ec14d600] silence_end: 1250.810125 | silence_duration: 1.710438"
433,start,1253.099,,"[silencedetect @ 000001d1ec14d600] silence_start: 1253.09925"
434,end,1253.836,0.736,"[silencedetect @ 000001d1ec14d600] silence_end: 1253.8355 | silence_duration: 0.73625"
435,start,1258.724,,"[silencedetect @ 000001d1ec14d600] silence_start: 1258.723875"
436,end,1260.49,1.766,"[silencedetect @ 000001d1ec14d600] silence_end: 1260.489875 | silence_duration: 1.766"
437,start,1266.478,,"[silencedetect @ 000001d1ec14d600] silence_start: 1266.4775"
438,end,1268.23,1.752,"[silencedetect @ 000001d1ec14d600] silence_end: 1268.229687 | silence_duration: 1.752188"
439,start,1273.731,,"[silencedetect @ 000001d1ec14d600] silence_start: 1273.730563"
440,end,1274.448,0.718,"[silencedetect @ 000001d1ec14d600] silence_end: 1274.448437 | silence_duration: 0.717875"
441,start,1277.919,,"[silencedetect @ 000001d1ec14d600] silence_start: 1277.919"
442,end,1279.643,1.724,"[silencedetect @ 000001d1ec14d600] silence_end: 1279.643063 | silence_duration: 1.724063"
443,start,1282.472,,"[silencedetect @ 000001d1ec14d600] silence_start: 1282.472"
444,end,1284.206,1.734,"[silencedetect @ 000001d1ec14d600] silence_end: 1284.2055 | silence_duration: 1.7335"
445,start,1293.389,,"[silencedetect @ 000001d1ec14d600] silence_start: 1293.388563"
446,end,1295.189,1.801,"[silencedetect @ 000001d1ec14d600] silence_end: 1295.189312 | silence_duration: 1.80075"
447,start,1301.635,,"[silencedetect @ 000001d1ec14d600] silence_start: 1301.634875"
448,end,1303.543,1.908,"[silencedetect @ 000001d1ec14d600] silence_end: 1303.543 | silence_duration: 1.908125"
449,start,1306.762,,"[silencedetect @ 000001d1ec14d600] silence_start: 1306.761875"
450,end,1307.491,0.729,"[silencedetect @ 000001d1ec14d600] silence_end: 1307.491062 | silence_duration: 0.729187"
451,start,1311.116,,"[silencedetect @ 000001d1ec14d600] silence_start: 1311.116062"
452,end,1313.149,2.033,"[silencedetect @ 000001d1ec14d600] silence_end: 1313.148625 | silence_duration: 2.032563"
453,start,1321.058,,"[silencedetect @ 000001d1ec14d600] silence_start: 1321.0575"
454,end,1323.07,2.013,"[silencedetect @ 000001d1ec14d600] silence_end: 1323.070062 | silence_duration: 2.012563"
455,start,1329.929,,"[silencedetect @ 000001d1ec14d600] silence_start: 1329.929437"
456,end,1332.108,2.179,"[silencedetect @ 000001d1ec14d600] silence_end: 1332.108313 | silence_duration: 2.178875"
457,start,1336.522,,"[silencedetect @ 000001d1ec14d600] silence_start: 1336.521937"
458,end,1337.182,0.66,"[silencedetect @ 000001d1ec14d600] silence_end: 1337.1815 | silence_duration: 0.659563"
459,start,1340.732,,"[silencedetect @ 000001d1ec14d600] silence_start: 1340.732438"
460,end,1341.325,0.593,"[silencedetect @ 000001d1ec14d600] silence_end: 1341.325125 | silence_duration: 0.592688"
461,start,1343.793,,"[silencedetect @ 000001d1ec14d600] silence_start: 1343.793437"
462,end,1345.621,1.827,"[silencedetect @ 000001d1ec14d600] silence_end: 1345.620625 | silence_duration: 1.827187"
463,start,1348.005,,"[silencedetect @ 000001d1ec14d600] silence_start: 1348.005312"
464,end,1348.603,0.598,"[silencedetect @ 000001d1ec14d600] silence_end: 1348.603063 | silence_duration: 0.59775"
465,start,1354.122,,"[silencedetect @ 000001d1ec14d600] silence_start: 1354.121562"
466,end,1356.102,1.98,"[silencedetect @ 000001d1ec14d600] silence_end: 1356.10175 | silence_duration: 1.980187"
467,start,1361.299,,"[silencedetect @ 000001d1ec14d600] silence_start: 1361.299125"
468,end,1362.056,0.757,"[silencedetect @ 000001d1ec14d600] silence_end: 1362.056313 | silence_duration: 0.757188"
469,start,1365.668,,"[silencedetect @ 000001d1ec14d600] silence_start: 1365.668125"
470,end,1367.445,1.777,"[silencedetect @ 000001d1ec14d600] silence_end: 1367.445125 | silence_duration: 1.777"
471,start,1375.555,,"[silencedetect @ 000001d1ec14d600] silence_start: 1375.554625"
472,end,1377.266,1.712,"[silencedetect @ 000001d1ec14d600] silence_end: 1377.266125 | silence_duration: 1.7115"
473,start,1385.272,,"[silencedetect @ 000001d1ec14d600] silence_start: 1385.272438"
474,end,1387,1.728,"[silencedetect @ 000001d1ec14d600] silence_end: 1387.000188 | silence_duration: 1.72775"
475,start,1393.167,,"[silencedetect @ 000001d1ec14d600] silence_start: 1393.16675"
476,end,1394.909,1.742,"[silencedetect @ 000001d1ec14d600] silence_end: 1394.908625 | silence_duration: 1.741875"
477,start,1399.367,,"[silencedetect @ 000001d1ec14d600] silence_start: 1399.366688"
478,end,1401.142,1.776,"[silencedetect @ 000001d1ec14d600] silence_end: 1401.142313 | silence_duration: 1.775625"
479,start,1409.06,,"[silencedetect @ 000001d1ec14d600] silence_start: 1409.0595"
